國語,客語,音標,造句,備註
傻瓜,憨人,ngong53 ngin11,,
流氓,鱸鰻,lu33 man11,,
狡猾,狡猾,kau31 vat5,,
兩面搬弄是非的人,雙頭蛇,song24 theu44 shia11,,
嘴硬、愛頂嘴,硬喙,ngang55 choi53,,
愛吹牛的人,雞頦仙,ke33 koi33 sien24,,
吝嗇鬼,ngat tshat 頭,ngat2 tshat2 theu11,,
吹牛,畫虎lin，膨風，噴雞頦,vak5 fu31 lin31, phung31 fung24, phun31 ke11 koi24,,
乞丐,乞食,khiet2 shit5,,
毛髮呈旋渦的地方,扭酒窟，篡,nu31 tsiu31 khut2, chhion53,,
眼睛,目珠,muk2 tsu33,,
眼球,目珠仁,muk2 tsu24 jin11,,
眼睫毛,目珠毛,muk2 tsu33 mo33,,
眼皮,目珠皮,muk2 tsu24 phi11,,
雙眼皮,雙瞼目,sung33 ngiam24 muk2,,
單眼皮,單瞼目,tan33 ngiam24 muk2,,
眼屎,目屎,muk2 shi31,,
鼻子,鼻公,phi53 kung33,,
鼻空,鼻空,phi53 khung33,,
鼻樑,鼻公管,phi53 kung24 kong11,,
塌鼻子,平鼻,phiang11 phi53,,
鼻涕,鼻膿,phi53 nung11,,
聞、嗅,鼻,phi53,,
耳朵,耳公,ngi31 kung24,,
耳垢,耳屎,ngi31 shi31,,
耳垂,耳鉈,ngi31 tho11,,
嘴巴,喙,choi53,,
面頰,喙角,choi55 kok2,,
酒窩,酒窟,tsiu31 khut2,,
臉,面,mien53,,
下巴,下頷,ha55 ngam24,,
下巴與脖子之間的部位,頦,koi24,,
臼齒,大牙,thai53 nga11,,
牙床,牙槽,nga44 tsho11,,
舌頭,舌嬤,shiet5 ma11,,
嘴唇,喙唇皮,choi53 shiun44 phi11,,
唾液,口瀾,heu31 lan33,,
鬍子,鬚,si33,,
脖子,頸莖,kiang31 kin24,,
肩膀,肩頭,kien24 theu24,,
乳房,乳菇,nen53 ku33,,菇字借字音，亦寫「姑」
胸膛,胸脯，心肝前,hiung24 phu11, sim33 kon24 tshien11,,
心窩,心肝窟,sim33 kon24 khut2,,
軀幹,圓身,jien11 shin33,,
腋窩,脅下,hiap2 ha24,,
背部,背囊,poi53 nong11,,
腰，腎,腰,jieu33,,
大姆指,手指公,shiu31 chi31 kung24,,
中指,中央指,tung33 on24 chi31,,
小指,手指尾,shiu31 chi31 mui24,,
大腳趾,腳趾公,kiok2 chi31 kung24,,
大腿,大腳髀,thai55 kiok2 pi31,,
膝蓋,腳膝頭,kiok2 tshit2 theu11,,
小腿,腳梗,kiok2 kuang31,,
腳掌背,腳盤,kiok2 phan11,,
膀胱,膀胱,phong11 kong33,,
扁平足,鴨嬤蹄,ap2 ma11 the11,,
男陰,朘，lin,tsoi24,lin31,,lin寫作「月夌」
睪丸,核卵,hak5 lon31,,
陰部,下身,ha55 shin33,,
女陰,支pai,chi24 pai11,,
血管,血管，血筋,hiet2 kuan31, hiet2 kin24,,
醫生,先生,sin33 sang33, sin33 sen33,,
把脈,打脈,ta31 mak2,,
症狀,症頭,chin53 theu11,,
煎藥,phu藥,phu11 jiok5,,
削瘦下去,落肉,lok5 ngiok2,,
長癬,生癬,sang24 sien31,,
腳癬的病原,沙蟲,sa24 chhiung11,,
長痱子,生熱痱,sang33 ngiet5 pui53,,
發瘋,起癲,khi31 tien24,,
中暑,熱到，發痧,ngiet5 to31, put2 sa33,,
腰部脊椎骨痛,腰骨疾,jieu24 kut2 tshit5,,
由風、寒、濕引起的全身酸痛,酸軟疾,son33 ngion33 tshit5,,
